City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Maine-Soroa,NE,86.05,overcast clouds,13.2114,12.0241,Complexe
6,Akyab,MM,82.09,light rain,20.15,92.9,Hotel Memory
12,Padang,ID,84.33,broken clouds,-0.9492,100.3543,Mercure Padang
13,Victoria,HK,87.96,scattered clouds,22.2855,114.1577,Mini Hotel Central
17,Kapaa,US,84.18,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
21,Bucerias,MX,82.98,broken clouds,20.75,-105.3333,Villa del Palmar Flamingos Beach Resort & Spa Riviera Nayarit
23,Rikitea,PF,76.1,broken clouds,-23.1203,-134.9692,Pension Maro'i
28,Atuona,PF,79.34,few clouds,-9.8,-139.0333,Villa Enata
32,Pitimbu,BR,75.79,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
33,Barentu,ER,79.3,clear sky,15.1139,37.5928,
39,Bodden Town,KY,82.4,few clouds,19.2833,-81.25,Will T Place
40,Bismarck,US,87.64,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
41,Butaritari,KI,82.53,light rain,3.0707,172.7902,Isles Sunset Lodge
42,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Oriximina,BR,75.96,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
48,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
54,Mareeba,AU,75.49,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
56,Yumen,CN,79.92,overcast clouds,40.2833,97.2,
57,La Palma,US,79.02,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
58,Dingle,PH,83.07,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
59,Chara,RU,80.28,scattered clouds,56.9064,118.2631,
61,Sarakhs,IR,86.14,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
62,The Valley,AI,80.46,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
64,Bethel,US,79.92,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
78,Las Lomas,PA,77.47,broken clouds,8.4333,-82.4,Hotel Castilla
85,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
88,Gizo,SB,83.12,light rain,-8.103,156.8419,Imagination Island
90,Binalan,PH,94.39,overcast clouds,18.3275,121.5451,ARJAN APOLINARIO AQUILIZAN
98,Cairns,AU,79.11,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
99,Puerto Escondido,MX,83.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
100,Isangel,VU,78.91,broken clouds,-19.55,169.2667,Tanna Lodge
102,Daultala,PK,86.63,broken clouds,33.1925,73.1413,Waheed garmints and cosmetic
108,West Wendover,US,87.01,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
116,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
119,Marzuq,YE,76.41,few clouds,14.4,46.4667,
121,Sabang,ID,82.99,overcast clouds,5.8933,95.3214,Hotel Citra
126,Kralendijk,BQ,80.58,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
130,Madang,PG,85.35,broken clouds,-5.2246,145.7966,Comfort Inn Hotel
131,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
135,Manggar,ID,86.32,overcast clouds,-2.8833,108.2667,Guest Hotel
137,Honiara,SB,84.13,overcast clouds,-9.4333,159.95,Heritage Park Hotel
139,Dunmore Town,BS,78.94,few clouds,25.5,-76.65,Coral Sands Hotel
143,Caramay,PH,84.2,moderate rain,10.1815,119.236,Peace and Love Beach Club
146,San Patricio,US,82.26,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
149,Gombong,ID,93.83,few clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
150,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
152,Sao Filipe,CV,78.22,overcast clouds,14.8961,-24.4956,Hotel Xaguate
156,Rancho Palos Verdes,US,75.67,few clouds,33.7445,-118.387,Terranea Resort
157,Kyra,RU,78.4,few clouds,49.5776,111.9753,
158,Nabire,ID,87.22,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
159,Port Keats,AU,84.87,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
160,Sao Raimundo Nonato,BR,75.27,scattered clouds,-9.0153,-42.6994,Real Hotel
164,Fort Frances,CA,75.42,clear sky,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
165,Westport,US,84.97,clear sky,41.1415,-73.3579,The Westport Inn
166,Puro,PH,86.0,overcast clouds,12.4841,123.3827,
168,Price,US,83.46,clear sky,39.5994,-110.8107,National 9 - Price River Inn
169,Coahuayana,MX,79.5,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
172,Hidalgotitlan,MX,78.13,overcast clouds,17.7833,-94.6333,
176,Progreso,MX,80.71,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
179,Patiya,BD,82.35,overcast clouds,22.2931,91.9762,R Village
181,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,Paradise Inn
183,Manokwari,ID,82.98,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
185,Itoman,JP,89.98,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
186,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
187,Dzaoudzi,YT,80.49,scattered clouds,-12.7887,45.2699,Le Rocher
188,Kulhudhuffushi,MV,82.81,overcast clouds,6.6221,73.07,Haajy Guest House 1
190,Hithadhoo,MV,83.1,overcast clouds,-0.6,73.0833,Scoop Guest House
192,Luganville,VU,80.19,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
193,Seoul,KR,81.01,scattered clouds,37.5683,126.9778,Lotte Hotel Seoul
195,Jaunpur,IN,89.62,scattered clouds,25.7333,82.6833,Hotel Varun
197,Kendari,ID,85.24,scattered clouds,-3.945,122.4989,Hotel Wixel
199,Hobyo,SO,77.56,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
208,Bajil,YE,88.16,clear sky,15.0584,43.2851,فندق حضرموت
210,Salalah,OM,86.09,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
211,Jieshi,CN,82.35,scattered clouds,22.8134,115.8257,Yuehai Hotel
214,Kousseri,CM,80.56,overcast clouds,12.0769,15.0306,Le Pilotis
215,Izumo,JP,80.55,clear sky,35.3667,132.7667,Toyoko-Inn Izumoshi ekimae
217,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
