City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Dzhebariki-Khaya,62.2167,135.8,55.15,65,100,1.7,RU,overcast clouds,2021-06-06 15:46:11
1,Castro,-24.7911,-50.0119,74.88,43,95,6.87,BR,overcast clouds,2021-06-06 15:46:11
2,Komsomolskiy,40.4272,71.7189,92.12,21,46,6.91,UZ,scattered clouds,2021-06-06 15:46:11
3,Avarua,-21.2078,-159.775,68.05,77,75,2.3,CK,broken clouds,2021-06-06 15:42:56
4,Touros,-5.1989,-35.4608,83.3,68,41,14.97,BR,scattered clouds,2021-06-06 15:41:35
5,Elban,50.1018,136.5094,49.93,98,81,4.65,RU,broken clouds,2021-06-06 15:46:12
6,Port-Gentil,-0.7193,8.7815,84.16,74,40,13.8,GA,scattered clouds,2021-06-06 15:46:12
7,Zermatt,46.0213,7.7491,71.76,100,40,3.69,CH,scattered clouds,2021-06-06 15:46:12
8,East London,-33.0153,27.9116,67.14,48,0,8.05,ZA,clear sky,2021-06-06 15:46:12
9,Hermanus,-34.4187,19.2345,64.8,45,9,7.25,ZA,clear sky,2021-06-06 15:43:20
10,Rajpur,22.3,74.35,87.91,52,69,13.18,IN,broken clouds,2021-06-06 15:46:13
11,Vaini,-21.2,-175.2,71.76,83,20,8.05,TO,few clouds,2021-06-06 15:46:13
12,Avenal,36.0041,-120.129,75.54,25,12,4.36,US,few clouds,2021-06-06 15:46:13
13,Zarinsk,53.7074,84.9493,56.39,87,100,7.31,RU,overcast clouds,2021-06-06 15:46:14
14,Mitsamiouli,-11.3847,43.2844,79.48,71,62,19.24,KM,broken clouds,2021-06-06 15:46:14
15,Bluff,-46.6,168.3333,46.27,84,63,5.37,NZ,broken clouds,2021-06-06 15:46:14
16,Jamestown,42.097,-79.2353,82.02,54,1,10.0,US,clear sky,2021-06-06 15:46:14
17,Naze,28.3667,129.4833,68.52,92,100,5.91,JP,overcast clouds,2021-06-06 15:46:15
18,Cape Town,-33.9258,18.4232,77.41,23,0,11.72,ZA,clear sky,2021-06-06 15:46:15
19,Bubaque,11.2833,-15.8333,80.1,82,8,10.98,GW,clear sky,2021-06-06 15:46:15
20,Port Elizabeth,-33.918,25.5701,73.69,18,0,4.61,ZA,clear sky,2021-06-06 15:46:15
21,Tasiilaq,65.6145,-37.6368,42.96,92,92,3.91,GL,overcast clouds,2021-06-06 15:43:00
22,Atuona,-9.8,-139.0333,79.16,66,68,11.12,PF,broken clouds,2021-06-06 15:46:16
