City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
0,Port Alfred,-33.5906,26.891,56.5,56,0,11.45,ZA,clear sky,2021-06-06 03:13:54
1,Maine-Soroa,13.2114,12.0241,86.05,42,100,8.77,NE,overcast clouds,2021-06-06 03:17:08
2,Tias,28.9611,-13.645,64.15,68,75,10.36,ES,broken clouds,2021-06-06 03:17:08
3,Mahajanga,-15.7167,46.3167,69.82,83,20,4.61,MG,few clouds,2021-06-06 03:17:09
4,Suhut,38.5311,30.5458,44.44,83,0,3.49,TR,clear sky,2021-06-06 03:08:05
5,Ancud,-41.8697,-73.8203,47.23,82,91,5.35,CL,overcast clouds,2021-06-06 03:13:58
6,Akyab,20.15,92.9,82.09,84,90,14.2,MM,light rain,2021-06-06 03:16:03
7,Albany,42.6001,-73.9662,73.92,72,24,1.01,US,few clouds,2021-06-06 03:13:49
8,Ushuaia,-54.8,-68.3,31.66,86,0,8.05,AR,clear sky,2021-06-06 03:13:39
9,Tasiilaq,65.6145,-37.6368,41.16,98,100,2.98,GL,light rain,2021-06-06 03:14:15
10,Aykhal,66.0,111.5,48.15,37,86,15.05,RU,overcast clouds,2021-06-06 03:15:17
11,Guadalupe Y Calvo,26.1,-106.9667,54.3,65,42,3.87,MX,scattered clouds,2021-06-06 03:17:09
12,Padang,-0.9492,100.3543,84.33,60,81,2.39,ID,broken clouds,2021-06-06 03:12:47
13,Victoria,22.2855,114.1577,87.96,73,42,7.0,HK,scattered clouds,2021-06-06 03:14:01
14,Cherskiy,68.75,161.3,70.81,27,36,22.97,RU,scattered clouds,2021-06-06 03:17:09
15,Santa Maria,-29.6842,-53.8069,61.74,97,100,2.64,BR,light rain,2021-06-06 03:14:01
16,Cape Town,-33.9258,18.4232,64.11,34,19,6.85,ZA,few clouds,2021-06-06 03:12:02
17,Kapaa,22.0752,-159.319,84.18,71,40,1.01,US,scattered clouds,2021-06-06 03:13:56
18,San Quintin,30.4833,-115.95,66.43,82,2,7.54,MX,clear sky,2021-06-06 03:08:00
19,Mataura,-46.1927,168.8643,49.48,72,16,0.92,NZ,few clouds,2021-06-06 03:12:03
20,Barrow,71.2906,-156.7887,33.82,86,75,11.5,US,mist,2021-06-06 03:14:01
21,Bucerias,20.75,-105.3333,82.98,78,75,2.28,MX,broken clouds,2021-06-06 03:13:34
22,Shirokiy,49.758,129.523,65.64,58,5,2.15,RU,clear sky,2021-06-06 03:07:48
