City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-05-30 05:37:00,-46.6,168.3333,49.8,91,100,22.53
1,Rikitea,PF,2021-05-30 05:37:00,-23.1203,-134.9692,75.9,85,100,26.11
2,Esperance,AU,2021-05-30 05:37:00,-33.8667,121.9,66.04,52,0,17.38
3,Sitka,US,2021-05-30 05:37:01,57.0531,-135.33,53.49,62,90,13.8
4,Mataura,NZ,2021-05-30 05:37:01,-46.1927,168.8643,49.48,98,100,5.59
5,Saskylakh,RU,2021-05-30 05:37:01,71.9167,114.0833,41.88,81,40,8.7
6,Khatanga,RU,2021-05-30 05:37:01,71.9667,102.5,52.36,71,45,8.97
7,Jaffrey,US,2021-05-30 05:37:02,42.814,-72.0231,44.38,89,100,8.52
8,Puerto Carreno,CO,2021-05-30 05:37:02,6.189,-67.4859,75.78,88,56,2.95
9,Busselton,AU,2021-05-30 05:37:02,-33.65,115.3333,57.09,76,76,18.21
10,Bredasdorp,ZA,2021-05-30 05:37:02,-34.5322,20.0403,45.72,93,80,2.89
11,Hobart,AU,2021-05-30 05:37:03,-42.8794,147.3294,54.91,67,75,2.59
12,Tateyama,JP,2021-05-30 05:37:03,34.9833,139.8667,78.15,72,100,4.61
13,Vaini,TO,2021-05-30 05:37:03,-21.2,-175.2,77.16,94,75,1.14
14,Katsuura,JP,2021-05-30 05:37:03,35.1333,140.3,75.31,81,100,9.95
15,Kodiak,US,2021-05-30 05:33:14,57.79,-152.4072,44.83,98,100,2.86
16,Lehigh Acres,US,2021-05-30 05:37:04,26.6254,-81.6248,76.95,84,1,0.6
17,Butaritari,KI,2021-05-30 05:37:04,3.0707,172.7902,83.23,78,93,15.52
18,Griffith,US,2021-05-30 05:33:05,41.5284,-87.4237,49.89,81,1,0.0
19,Port Hedland,AU,2021-05-30 05:37:04,-20.3167,118.5667,77.05,38,90,10.36
20,Davila,PH,2021-05-30 05:37:04,18.4726,120.5763,89.58,67,66,12.33
21,Albany,US,2021-05-30 05:36:24,42.6001,-73.9662,48.15,85,100,1.39
22,San Patricio,US,2021-05-30 05:34:59,28.017,-97.5169,78.84,90,13,4.9
23,Ust-Ishim,RU,2021-05-30 05:37:05,57.6935,71.1665,78.84,29,70,12.1
24,Kruisfontein,ZA,2021-05-30 05:37:05,-34.0033,24.7314,52.88,85,81,3.87
